ds,y
2018/04/15,3
2018/04/17,3
2018/04/21,8
2018/04/22,3
2018/04/23,3
2018/04/27,5
2018/05/01,5
2018/05/04,5
2018/05/05,5
2018/05/11,5
2018/05/12,5
2018/05/14,3
2018/05/15,3
2018/05/17,3
2018/05/19,3
2018/05/22,3
2018/05/23,5
2018/05/24,5
2018/05/25,5
2018/05/27,6
2018/05/28,5
2018/06/01,8
2018/06/02,7
2018/06/03,5
2018/06/08,5
2018/06/09,4
2018/06/10,5
2018/06/12,5
2018/06/14,5
2018/06/17,5
2018/06/20,3
2018/06/21,3
2018/06/22,5
2018/06/24,5
2018/06/26,5
2018/06/29,5
2018/07/02,5
2018/07/03,5
2018/07/07,5
2018/07/08,3
2018/07/15,5
2018/07/16,3
2018/07/20,5
2018/07/22,3
2018/07/23,5
2018/07/27,5
2018/07/31,3
2018/08/02,5
2018/08/03,5
2018/08/07,4
2018/08/10,5
2018/08/15,5
2018/08/17,5
2018/08/18,5
2018/08/19,5
2018/08/20,5
2018/08/27,7
2018/08/30,3
2018/08/31,3
2018/09/03,5
2018/09/04,3
2018/09/06,4
2018/09/07,2
2018/09/09,3
2018/09/12,5
2018/09/15,5
2018/09/16,5
2018/09/21,3
2018/09/26,5
2018/09/29,6
2018/09/30,4
2018/10/02,4
2018/10/03,3
2018/10/04,5
2018/10/05,5
2018/10/07,5
2018/10/08,3
2018/10/09,3
2018/10/12,5
2018/10/15,3
2018/10/16,2
2018/10/18,5
2018/10/19,5
2018/10/21,3
2018/10/23,3
2018/10/27,3
2018/10/31,6
2018/11/04,3
2018/11/08,6
2018/11/10,3
2018/11/11,3
2018/11/14,5
2018/11/15,5
2018/11/17,5
2018/11/18,5
2018/11/19,3
2018/11/20,2
2018/11/22,3
2018/11/24,5
2018/11/25,5
2018/11/28,5
2018/12/02,3
2018/12/05,6
2018/12/07,3
2018/12/10,5
2018/12/11,4
2018/12/12,3
2018/12/14,5
2018/12/16,5
2018/12/18,4
2018/12/21,5
2018/12/24,5
2018/12/26,5
2018/12/27,3
2018/12/28,3
2018/12/30,5
2019/01/10,3
2019/01/11,5
2019/01/13,5
2019/01/15,3
2019/01/20,3
2019/01/21,5
2019/01/25,3
2019/01/28,5
2019/01/29,2
2019/01/31,5
2019/02/01,3
2019/02/03,3
2019/02/06,3
2019/02/07,3
2019/02/09,3
2019/02/11,3
2019/02/12,2
2019/02/15,3
2019/02/18,3
2019/02/19,2
2019/02/22,3
2019/02/23,3
2019/02/25,3
2019/03/01,5
2019/03/03,3
2019/03/06,3
2019/03/08,3
2019/03/09,3
2019/03/10,5
2019/03/11,3
2019/03/15,3
2019/03/18,3
2019/03/21,3
2019/03/22,4
2019/03/24,6
2019/03/27,3
2019/03/28,2
2019/03/29,6
2019/03/30,2
2019/03/31,3
2019/04/02,5
2019/04/05,6
2019/04/07,5
2019/04/08,3
2019/04/12,2
2019/04/18,5
2019/04/20,3
2019/04/21,2
2019/04/24,3
2019/04/25,3
2019/04/26,1
2019/04/28,2
2019/05/01,3
2019/05/02,8
2019/05/03,3
2019/05/05,5
2019/05/12,3
2019/05/13,3
2019/05/18,5
2019/05/25,8
2019/05/29,3
2019/06/01,4
2019/06/03,5
2019/06/04,5
2019/06/13,6
2019/06/14,2
2019/06/15,2
2019/06/21,4
2019/06/23,4
2019/06/24,3
2019/06/26,2
2019/06/28,5
2019/07/01,5
2019/07/03,6
2019/07/05,5
2019/07/06,4
2019/07/10,3
2019/07/13,5
2019/07/14,3
2019/07/18,3
2019/07/24,2
2019/07/26,6
2019/07/31,6
2019/08/03,2
2019/08/07,2
2019/08/08,5
2019/08/10,5
2019/08/11,4
2019/08/14,5
2019/08/17,5
2019/08/18,4
2019/08/22,5
2019/08/23,6
2019/08/28,5
2019/08/29,7
2019/08/31,6
2019/09/02,5
2019/09/05,8
2019/09/08,5
2019/09/13,2
2019/09/14,4
2019/09/15,3
2019/09/19,2
2019/09/21,3
2019/09/22,5
2019/09/25,5
2019/09/26,8
2019/09/29,3
2019/10/03,4
2019/10/05,5
2019/10/06,5
2019/10/10,3
2019/10/12,5
