ds,y
2018/01/01,120
2018/01/02,80
2018/01/03,50
2018/01/04,30
2018/01/05,100
2018/01/06,120
2018/01/07,100
2018/01/08,60
2018/01/09,40
2018/01/10,50
2018/01/11,70
2018/01/12,100
2018/01/13,150
2018/01/14,150
2018/01/15,50
2018/01/16,100
2018/01/17,80
2018/01/18,50
2018/01/19,120
2018/01/20,120
2018/01/22,80
2018/01/24,60
2018/01/25,80
2018/01/26,120
2018/01/27,100
2018/01/28,120
2018/01/29,30
2018/01/30,50
2018/01/31,50
2018/02/02,120
2018/02/03,120
2018/02/04,100
2018/02/06,50
2018/02/07,80
2018/02/08,60
2018/02/09,120
2018/02/10,130
2018/02/11,100
2018/02/12,50
2018/02/13,100
2018/02/14,120
2018/02/15,150
2018/02/16,150
2018/02/18,80
2018/02/19,30
2018/02/20,50
2018/02/21,60
2018/02/22,50
2018/02/23,100
2018/02/24,100
2018/02/25,60
2018/02/26,50
2018/02/27,60
2018/02/28,70
2018/03/01,60
2018/03/02,80
2018/03/03,100
2018/03/04,80
2018/03/05,50
2018/03/06,50
2018/03/07,50
2018/03/08,60
2018/03/09,100
2018/03/10,120
2018/03/11,40
2018/03/12,40
2018/03/13,50
2018/03/14,50
2018/03/15,80
2018/03/16,115
2018/03/17,100
2018/03/18,80
2018/03/19,30
2018/03/20,50
2018/03/21,80
2018/03/22,50
2018/03/23,120
2018/03/24,130
2018/03/26,50
2018/03/27,80
2018/03/28,80
2018/03/29,100
2018/03/30,120
2018/03/31,150
2018/04/02,50
2018/04/03,20
2018/04/04,40
2018/04/06,110
2018/04/07,100
2018/04/08,80
2018/04/09,30
2018/04/10,50
2018/04/11,50
2018/04/12,20
2018/04/13,100
2018/04/14,100
2018/04/15,80
2018/04/16,30
2018/04/17,50
2018/04/19,50
2018/04/20,100
2018/04/21,120
2018/04/22,50
2018/04/23,30
2018/04/24,20
2018/04/25,50
2018/04/26,40
2018/04/27,100
2018/04/28,120
2018/04/29,20
2018/04/30,80
2018/05/01,70
2018/05/02,50
2018/05/03,30
2018/05/04,80
2018/05/05,100
2018/05/06,80
2018/05/07,20
2018/05/08,60
2018/05/09,60
2018/05/10,20
2018/05/11,100
2018/05/12,80
2018/05/13,100
2018/05/14,50
2018/05/15,50
2018/05/16,50
2018/05/17,50
2018/05/18,100
2018/05/19,80
2018/05/20,80
2018/05/21,50
2018/05/25,100
2018/05/26,100
2018/05/27,50
2018/05/28,50
2018/05/29,80
2018/05/30,50
2018/05/31,50
2018/06/01,50
2018/06/02,100
2018/06/04,50
2018/06/05,50
2018/06/06,50
2018/06/07,80
2018/06/08,100
2018/06/09,100
2018/06/10,60
2018/06/11,30
2018/06/13,50
2018/06/14,80
2018/06/15,100
2018/06/16,100
2018/06/17,80
2018/06/18,50
2018/06/19,50
2018/06/20,50
2018/06/21,80
2018/06/22,100
2018/06/23,80
2018/06/24,80
2018/06/25,50
2018/06/26,60
2018/06/27,50
2018/06/28,80
2018/06/29,120
2018/06/30,100
2018/07/01,80
2018/07/02,60
2018/07/03,50
2018/07/04,20
2018/07/05,30
2018/07/06,80
2018/07/07,100
2018/07/08,50
2018/07/09,40
2018/07/10,20
2018/07/11,30
2018/07/12,50
2018/07/13,100
2018/07/14,80
2018/07/15,60
2018/07/16,35
2018/07/17,40
2018/07/18,50
2018/07/19,60
2018/07/20,80
2018/07/21,100
2018/07/22,80
2018/07/23,50
2018/07/24,50
2018/07/25,50
2018/07/26,50
2018/07/27,100
2018/07/28,100
2018/07/29,60
2018/07/30,50
2018/07/31,70
2018/08/01,50
2018/08/02,80
2018/08/03,150
2018/08/04,50
2018/08/05,60
2018/08/06,50
2018/08/07,20
2018/08/08,100
2018/08/09,100
2018/08/10,50
2018/08/11,80
2018/08/12,80
2018/08/14,40
2018/08/15,70
2018/08/16,60
2018/08/17,100
2018/08/18,100
2018/08/19,60
2018/08/20,50
2018/08/21,100
2018/08/22,80
2018/08/23,50
2018/08/24,60
2018/08/25,80
2018/08/26,60
2018/08/27,50
2018/08/28,20
2018/08/29,50
2018/08/30,100
2018/08/31,100
2018/09/01,70
2018/09/02,70
2018/09/03,50
2018/09/04,50
2018/09/05,50
2018/09/06,80
2018/09/07,100
2018/09/08,100
2018/09/09,80
2018/09/10,50
2018/09/11,70
2018/09/12,70
2018/09/13,80
2018/09/14,120
2018/09/15,80
2018/09/16,50
2018/09/18,50
2018/09/19,50
2018/09/20,100
2018/09/21,100
2018/09/22,100
2018/09/23,50
2018/09/24,50
2018/09/25,50
2018/09/26,50
2018/09/27,30
2018/09/28,100
2018/09/29,120
2018/09/30,50
2018/10/01,60
2018/10/02,20
2018/10/03,60
2018/10/04,95
2018/10/05,120
2018/10/06,80
2018/10/07,60
2018/10/08,50
2018/10/09,50
2018/10/10,50
2018/10/11,50
2018/10/12,100
2018/10/13,100
2018/10/14,50
2018/10/15,80
2018/10/16,60
2018/10/17,50
2018/10/18,50
2018/10/19,100
2018/10/20,100
2018/10/21,50
2018/10/22,50
2018/10/23,50
2018/10/24,50
2018/10/25,30
2018/10/26,80
2018/10/27,100
2018/10/28,70
2018/10/30,50
2018/10/31,50
2018/11/01,110
2018/11/02,70
2018/11/03,100
2018/11/04,30
2018/11/05,100
2018/11/06,50
2018/11/07,50
2018/11/08,70
2018/11/09,100
2018/11/10,150
2018/11/11,50
2018/11/12,30
2018/11/13,50
2018/11/14,70
2018/11/15,50
2018/11/16,100
2018/11/17,100
2018/11/18,50
2018/11/19,20
2018/11/20,60
2018/11/21,60
2018/11/22,80
2018/11/23,120
2018/11/24,80
2018/11/25,50
2018/11/26,30
2018/11/27,50
2018/11/28,50
2018/11/29,70
2018/11/30,120
2018/12/01,80
2018/12/02,50
2018/12/03,30
2018/12/04,50
2018/12/05,50
2018/12/06,50
2018/12/07,100
2018/12/08,100
2018/12/09,50
2018/12/10,80
2018/12/11,50
2018/12/12,80
2018/12/13,50
2018/12/14,100
2018/12/15,130
2018/12/16,50
2018/12/17,30
2018/12/18,80
2018/12/19,50
2018/12/20,100
2018/12/21,100
2018/12/22,120
2018/12/23,50
2018/12/24,100
2018/12/25,100
2018/12/26,80
2018/12/27,100
2018/12/28,150
2018/12/29,100
2018/12/30,30
2018/12/31,120
2019/01/01,100
2019/01/02,80
2019/01/03,80
2019/01/04,100
2019/01/05,100
2019/01/06,30
2019/01/08,50
2019/01/09,50
2019/01/10,80
2019/01/11,100
2019/01/12,100
2019/01/13,80
2019/01/14,50
2019/01/16,70
2019/01/17,80
2019/01/18,100
