ds,y
2018/01/01,6
2018/01/04,5
2018/01/07,13
2018/01/20,6
2018/01/21,13
2018/03/26,3
2018/04/07,60
2018/04/08,8
2018/04/15,1
2018/05/21,6
2018/05/23,6
2018/05/24,5
2018/05/25,8
2018/06/01,6
2018/06/02,6
2018/06/07,8
2018/06/11,3
2018/06/12,8
2018/06/14,5
2018/06/16,12
2018/06/17,5
2018/06/18,10
2018/06/22,5
2018/06/24,8
2018/06/28,11
2018/06/29,10
2018/06/30,12
2018/07/06,3
2018/07/08,5
2018/07/09,4
2018/07/11,6
2018/07/19,8
2018/07/20,3
2018/07/21,10
2018/07/22,10
2018/07/23,8
2018/07/24,11
2018/07/25,5
2018/07/26,5
2018/07/31,10
2018/08/01,3
2018/08/10,10
2018/08/11,8
2018/08/12,6
2018/08/13,5
2018/08/15,5
2018/08/18,5
2018/08/22,8
2018/08/23,8
2018/08/24,10
2018/08/25,4
2018/08/26,8
2018/08/27,5
2018/08/28,5
2018/08/29,10
2018/08/30,10
2018/08/31,12
2018/09/01,10
2018/09/02,10
2018/09/03,13
2018/09/04,8
2018/09/05,8
2018/09/07,8
2018/09/08,15
2018/09/09,10
2018/09/10,10
2018/09/11,10
2018/09/12,10
2018/09/13,8
2018/09/14,10
2018/09/15,10
2018/09/16,8
2018/09/17,5
2018/09/18,5
2018/09/19,5
2018/09/20,8
2018/09/21,10
2018/09/22,1
2018/09/23,8
2018/09/24,10
2018/09/25,5
2018/09/27,10
2018/09/28,10
2018/09/29,10
2018/09/30,8
2018/10/06,10
2018/10/07,8
2018/10/08,8
2018/10/09,5
2018/10/11,5
2018/10/12,10
2018/10/13,5
2018/10/14,8
2018/10/15,8
2018/10/16,10
2018/10/17,8
2018/10/18,10
2018/10/19,10
2018/10/20,10
2018/10/21,8
2018/10/22,7
2018/10/23,8
2018/10/25,8
2018/10/26,8
2018/10/27,5
2018/10/28,8
2018/10/29,8
2018/10/30,8
2018/10/31,10
2018/11/01,13
2018/11/02,10
2018/11/03,10
2018/11/04,8
2018/11/07,5
2018/11/08,10
2018/11/09,5
2018/11/10,8
2018/11/11,8
2018/11/13,5
2018/11/14,5
2018/11/15,8
2018/11/16,15
2018/11/17,12
2018/11/18,5
2018/11/19,3
2018/11/20,5
2018/11/21,5
2018/11/22,5
2018/11/23,5
2018/11/24,10
2018/11/25,8
2018/11/26,5
2018/11/27,5
2018/11/28,5
2018/11/29,8
2018/11/30,6
2018/12/01,5
2018/12/02,5
2018/12/03,3
2018/12/04,5
2018/12/05,5
2018/12/06,3
2018/12/07,8
2018/12/08,10
2018/12/09,8
2018/12/10,8
2018/12/11,5
2018/12/12,5
2018/12/13,8
2018/12/14,5
2018/12/15,8
2018/12/16,8
2018/12/17,6
2018/12/18,8
2018/12/19,5
2018/12/20,5
2018/12/21,10
2018/12/22,10
2018/12/23,5
2018/12/24,8
2018/12/25,10
2018/12/26,8
2018/12/27,10
2018/12/28,10
2018/12/29,10
2018/12/30,10
2018/12/31,15
2019/01/01,5
2019/01/02,10
2019/01/03,5
2019/01/04,10
2019/01/05,8
2019/01/06,5
2019/01/07,5
2019/01/09,5
2019/01/10,10
2019/01/11,8
2019/01/12,10
2019/01/13,10
2019/01/14,5
2019/01/15,5
2019/01/16,5
2019/01/17,5
2019/01/18,10
2019/01/19,5
2019/01/20,5
2019/01/22,8
2019/01/23,5
2019/01/24,4
2019/01/25,8
2019/01/26,10
2019/01/27,5
2019/01/28,8
2019/01/29,10
2019/01/30,10
2019/01/31,10
2019/02/01,17
2019/02/02,10
2019/02/03,10
2019/02/04,10
2019/02/05,10
2019/02/06,8
2019/02/07,5
2019/02/08,5
2019/02/09,8
2019/02/10,5
2019/02/11,5
2019/02/12,5
2019/02/13,5
2019/02/14,8
2019/02/15,10
2019/02/16,8
2019/02/17,8
2019/02/18,5
2019/02/19,5
2019/02/20,10
2019/02/21,8
2019/02/22,10
2019/02/23,8
2019/02/24,5
2019/02/25,6
2019/02/26,3
2019/02/27,5
2019/03/01,5
2019/03/02,8
2019/03/03,8
2019/03/04,5
2019/03/05,5
2019/03/06,5
2019/03/08,6
2019/03/09,8
2019/03/10,8
2019/03/11,8
2019/03/12,5
2019/03/13,5
2019/03/14,3
2019/03/15,8
2019/03/16,8
2019/03/17,5
2019/03/18,5
2019/03/19,5
2019/03/20,3
2019/03/21,5
2019/03/22,5
2019/03/23,10
2019/03/24,5
2019/03/25,4
2019/03/26,3
2019/03/27,3
2019/03/28,5
2019/03/29,10
2019/03/30,6
2019/03/31,8
2019/04/01,10
2019/04/02,6
2019/04/03,8
2019/04/04,8
2019/04/05,8
2019/04/06,8
2019/04/07,5
2019/04/08,5
2019/04/09,5
2019/04/10,5
2019/04/11,3
2019/04/12,8
2019/04/13,8
2019/04/14,8
2019/04/15,8
2019/04/16,5
2019/04/17,5
2019/04/18,10
2019/04/19,10
2019/04/20,10
2019/04/21,10
2019/04/22,5
2019/04/23,5
2019/04/24,8
2019/04/25,10
2019/04/26,15
2019/04/27,10
2019/04/28,8
2019/04/29,5
2019/04/30,10
2019/05/01,2
2019/05/02,5
2019/05/03,10
2019/05/04,10
2019/05/05,10
2019/05/06,2
2019/05/07,10
2019/05/09,3
2019/05/10,5
2019/05/11,10
2019/05/12,10
2019/05/13,10
2019/05/14,8
2019/05/15,8
2019/05/16,10
2019/05/17,8
2019/05/18,5
2019/05/19,8
2019/05/22,5
2019/05/23,5
2019/05/24,10
2019/05/25,8
2019/05/26,5
2019/05/27,5
2019/05/29,5
2019/05/30,8
2019/06/01,5
2019/06/02,10
2019/06/03,5
2019/06/04,10
2019/06/05,8
2019/06/06,8
2019/06/07,10
2019/06/08,18
2019/06/09,8
2019/06/10,8
2019/06/11,8
2019/06/12,16
2019/06/13,16
2019/06/15,5
2019/06/19,5
2019/06/20,5
2019/06/22,5
2019/06/23,5
2019/06/26,10
2019/06/27,13
2019/06/28,10
2019/06/29,8
2019/06/30,8
2019/07/01,5
2019/07/03,8
2019/07/07,8
2019/07/08,8
2019/07/09,10
2019/07/10,10
2019/07/11,5
2019/07/12,10
2019/07/13,15
2019/07/14,5
2019/07/15,8
2019/07/16,8
2019/07/17,8
2019/07/19,12
2019/07/20,12
2019/07/21,10
2019/07/22,2
2019/07/23,8
2019/07/25,5
2019/07/26,10
2019/07/27,15
2019/07/28,5
2019/07/29,6
2019/07/30,5
2019/08/01,8
2019/08/02,10
2019/08/03,8
2019/08/04,8
2019/08/05,5
2019/08/07,10
2019/08/08,10
2019/08/10,5
2019/08/11,5
2019/08/13,5
2019/08/14,5
2019/08/15,5
2019/08/16,8
2019/08/17,8
2019/08/18,5
2019/08/22,8
2019/08/23,8
2019/08/24,8
2019/08/26,3
2019/08/27,5
2019/08/28,8
2019/08/29,5
2019/08/30,5
2019/08/31,5
2019/09/02,8
2019/09/03,8
2019/09/04,5
2019/09/06,6
2019/09/07,15
2019/09/08,5
2019/09/09,5
2019/09/11,5
2019/09/12,8
2019/09/13,6
2019/09/14,8
2019/09/15,8
2019/09/16,9
2019/09/18,6
2019/09/20,12
2019/09/21,9
2019/09/23,10
2019/09/25,6
2019/09/26,8
2019/09/28,10
2019/09/30,10
2019/10/02,10
2019/10/05,10
2019/10/06,8
2019/10/07,8
2019/10/08,8
2019/10/10,6
2019/10/11,5.6
2019/10/12,5
2019/10/13,6
2019/10/14,2
2019/10/15,5
2019/10/16,3
2019/10/17,2
2019/10/18,7
2019/10/19,6
2019/10/20,5
2019/10/21,5
2019/10/22,6
2019/10/23,3
2019/10/24,3
2019/10/25,5
2019/10/26,10
2019/10/27,6
2019/10/28,5
2019/10/29,5
2019/10/30,3
2019/10/31,4
2019/11/01,5
2019/11/02,11
2019/11/03,8
2019/11/05,4
2019/11/06,8
2019/11/07,4
2019/11/08,5
2019/11/09,8.8
2019/11/10,3
2019/11/11,4
2019/11/12,4
2019/11/13,4
2019/11/14,4
2019/11/15,7
2019/11/16,8
2019/11/17,5
2019/11/18,4
2019/11/19,4
2019/11/20,4
2019/11/21,4
2019/11/22,3
2019/11/23,5
2019/11/24,8
2019/11/25,4
2019/11/26,6
2019/11/27,4
2019/11/28,5
2019/11/29,8
2019/11/30,13
2019/12/01,4
2019/12/02,4
2019/12/03,5
2019/12/04,4
2019/12/05,3
2019/12/06,6
2019/12/07,5
2019/12/08,7
2019/12/10,6
2019/12/11,6
2019/12/12,5
2019/12/13,9
2019/12/14,5
2019/12/15,6
2019/12/16,4
2019/12/17,4
2019/12/18,6
2019/12/19,8
2019/12/20,6
2019/12/21,7
2019/12/22,5
2019/12/23,5
2019/12/24,8
2019/12/25,8
2019/12/26,8
2019/12/27,6
2019/12/28,8
2019/12/29,8
2019/12/30,4
2019/12/31,8
2020/01/01,9
2020/01/02,7
2020/01/03,6
2020/01/04,8
2020/01/05,4
2020/01/06,4
2020/01/07,4
2020/01/08,4
2020/01/09,4
2020/01/10,8
2020/01/11,7.39
2020/01/12,8
2020/01/13,4
2020/01/14,5
2020/01/15,5
2020/01/16,8.6
2020/01/17,4
2020/01/18,8
2020/01/19,4
