ds,y
2019/03/09,15
2019/03/10,10
2019/03/12,12
2019/03/13,8
2019/03/14,6
2019/03/15,10
2019/03/16,17
2019/03/17,20
2019/03/18,10
2019/03/20,10
2019/03/21,3
2019/03/22,20
2019/03/23,15
2019/03/24,10
2019/03/25,15
2019/03/27,10
2019/03/28,9
2019/03/29,10
2019/03/30,12
2019/03/31,15
2019/04/01,10
2019/04/02,5
2019/04/03,5
2019/04/04,10
2019/04/05,20
2019/04/06,20
2019/04/07,20
2019/04/08,5
2019/04/12,34
2019/04/13,10
2019/04/14,8
2019/04/18,10
2019/04/19,21
2019/04/20,20
2019/04/21,15
2019/04/22,10
2019/04/23,10
2019/04/24,20
2019/04/25,8
2019/04/26,20
2019/04/28,15
2019/04/29,6
2019/04/30,16
2019/05/01,20
2019/05/02,10
2019/05/03,15
2019/05/05,16
2019/05/06,16
2019/05/07,16
2019/05/09,8
2019/05/10,15
2019/05/11,40
2019/05/12,25
2019/05/13,8
2019/05/14,8
2019/05/15,8
2019/05/17,37
2019/05/18,15
2019/05/19,15
2019/05/20,30
2019/05/21,10
2019/05/22,8
2019/05/23,16
2019/05/25,49
2019/05/26,8
2019/05/29,6
2019/05/30,24
2019/06/01,20
2019/06/02,8
2019/06/03,8
2019/06/04,8
2019/06/05,12
2019/06/06,10
2019/06/07,12
2019/06/08,14
2019/06/09,15
2019/06/10,12
2019/06/11,5
2019/06/12,5
2019/06/13,6
2019/06/14,12
2019/06/15,10
2019/06/16,10
2019/06/17,10
2019/06/19,8
2019/06/20,5
2019/06/21,12
2019/06/22,15
2019/06/23,15
2019/06/24,8
2019/06/25,8
2019/06/26,5
2019/06/27,5
2019/06/28,10
2019/06/29,15
2019/06/30,20
2019/07/01,10
2019/07/03,10
2019/07/05,12
2019/07/06,15
2019/07/07,15
2019/07/08,10
2019/07/10,10
2019/07/11,6
2019/07/12,14
2019/07/13,21
2019/07/14,18
2019/07/15,12
2019/07/16,6
2019/07/18,10
2019/07/19,10
2019/07/20,18
2019/07/21,20
2019/07/22,4
2019/07/23,6
2019/07/24,10
2019/07/25,12
2019/07/26,12
2019/07/27,15
2019/07/28,25
2019/07/29,18
2019/07/30,8
2019/07/31,8
2019/08/02,16
2019/08/03,12
2019/08/04,20
2019/08/05,6
2019/08/06,6
2019/08/07,6
2019/08/08,16
2019/08/09,16
2019/08/10,20
2019/08/11,12
2019/08/12,20
2019/08/13,5
2019/08/16,18
2019/08/17,20
2019/08/18,18
2019/08/19,5
2019/08/21,6
2019/08/22,10
2019/08/23,15
2019/08/24,18
2019/08/25,20
2019/08/26,5
2019/08/28,6
2019/08/29,12
2019/08/30,30
2019/08/31,22
2019/09/01,16
2019/09/02,8
2019/09/03,8
2019/09/04,10
2019/09/05,12
2019/09/06,20
2019/09/07,20
2019/09/08,12
2019/09/09,10
2019/09/10,5
2019/09/11,12
2019/09/12,6
2019/09/13,15
2019/09/14,20
2019/09/15,26
2019/09/16,6
2019/09/17,6
2019/09/19,20
2019/09/20,16
2019/09/21,24
2019/09/22,20
2019/09/23,3
2019/09/24,5
2019/09/25,8
2019/09/26,8
2019/09/27,32
2019/09/29,20
2019/09/30,12
2019/10/01,5
2019/10/02,5
2019/10/03,6
2019/10/04,14
2019/10/05,18
2019/10/06,18
2019/10/07,6
2019/10/08,3
2019/10/09,5
2019/10/10,8
2019/10/11,18
2019/10/12,16
2019/10/13,15
2019/10/14,6
2019/10/15,5
2019/10/17,3
2019/10/18,12
2019/10/19,16
2019/10/20,15
2019/10/21,5
2019/10/23,6
2019/10/24,8
2019/10/25,18
2019/10/26,18
2019/10/27,16
2019/10/28,15
2019/10/29,6
2019/10/30,6
2019/11/01,6
2019/11/02,12
