ds,y
2018/01/01,10
2018/01/02,10
2018/01/03,10
2018/01/05,8
2018/01/06,10
2018/01/07,12
2018/01/08,10
2018/01/09,8
2018/01/10,10
2018/01/11,10
2018/01/13,10
2018/01/14,10
2018/01/16,10
2018/01/18,10
2018/01/19,8
2018/01/20,8
2018/01/21,10
2018/01/22,10
2018/01/23,5
2018/01/25,10
2018/01/26,5
2018/01/27,5
2018/01/30,5
2018/01/31,5
2018/02/01,5
2018/02/02,10
2018/02/03,10
2018/02/04,5
2018/02/05,5
2018/02/06,8
2018/02/07,8
2018/02/09,10
2018/02/10,5
2018/02/11,5
2018/02/12,5
2018/02/13,8
2018/02/14,10
2018/02/15,15
2018/02/16,15
2018/02/17,10
2018/02/18,10
2018/02/19,8
2018/02/20,10
2018/02/21,8
2018/02/22,10
2018/02/23,10
2018/02/24,8
2018/02/25,5
2018/02/26,10
2018/02/27,8
2018/02/28,15
2018/03/01,8
2018/03/02,10
2018/03/03,10
2018/03/04,8
2018/03/05,5
2018/03/07,10
2018/03/08,8
2018/03/09,10
2018/03/10,10
2018/03/11,15
2018/03/13,5
2018/03/14,8
2018/03/15,8
2018/03/16,10
2018/03/17,15
2018/03/18,15
2018/03/20,5
2018/03/21,5
2018/03/22,5
2018/03/23,8
2018/03/24,8
2018/03/25,10
2018/03/26,10
2018/03/27,10
2018/03/28,8
2018/03/29,10
2018/03/30,8
2018/03/31,8
2018/04/01,8
2018/04/02,8
2018/04/03,5
2018/04/04,5
2018/04/05,5
2018/04/06,8
2018/04/07,5
2018/04/08,10
2018/04/09,8
2018/04/10,8
2018/04/11,8
2018/04/12,5
2018/04/13,8
2018/04/14,8
2018/04/15,5
2018/04/16,5
2018/04/17,5
2018/04/18,5
2018/04/19,3
2018/04/20,10
2018/04/21,10
2018/04/22,10
2018/04/23,8
2018/04/24,5
2018/04/25,8
2018/04/27,5
2018/04/28,10
2018/04/29,8
2018/04/30,8
2018/05/01,4
2018/05/02,5
2018/05/03,5
2018/05/04,8
2018/05/05,8
2018/05/06,5
2018/05/07,5
2018/05/08,5
2018/05/09,5
2018/05/11,12
2018/05/12,10
2018/05/13,12
2018/05/14,10
2018/05/16,10
2018/05/17,8
2018/05/18,10
