ds,y
2019/08/23,8
2019/08/24,8
2019/08/25,5
2019/08/28,5
2019/08/30,10
2019/08/31,8
2019/09/01,6
2019/09/05,15
2019/09/06,12
2019/09/07,5
2019/09/11,4
2019/09/13,5
2019/09/14,3
2019/09/15,5
2019/09/19,6
2019/09/21,5
2019/09/22,8
2019/09/23,6
2019/09/25,4
2019/09/26,1
2019/09/27,8
2019/09/28,8
2019/09/29,4
2019/10/02,8
2019/10/04,7
2019/10/05,10
2019/10/06,5
2019/10/08,5
2019/10/10,3
2019/10/11,6
2019/10/12,8
2019/10/13,6
2019/10/17,5
2019/10/18,6
2019/10/19,8
2019/10/23,5
2019/10/24,5
2019/10/25,8
2019/10/26,10
2019/10/27,8
2019/11/01,12
2019/11/02,5
2019/11/04,4
2019/11/06,5
2019/11/08,5
2019/11/09,5
2019/11/10,4
2019/11/11,3
2019/11/13,5
2019/11/14,6
2019/11/16,8
2019/11/21,9
2019/11/22,8
2019/11/23,8
2019/11/28,4
2019/11/30,10
2019/12/01,3
2019/12/05,4
2019/12/06,7
2019/12/07,10
2019/12/09,5
2019/12/11,3
2019/12/12,10
2019/12/13,15
2019/12/15,6
2019/12/16,5
2019/12/18,7
2019/12/19,13
2019/12/20,5
2019/12/21,10
2019/12/24,10
2019/12/25,12
2019/12/26,5
2019/12/28,10
2019/12/30,5
2019/12/31,8
2020/01/01,8
2020/01/03,5
2020/01/05,5
2020/01/07,5
2020/01/09,8
2020/01/10,5
2020/01/11,8
2020/01/15,8
2020/01/17,8
2020/01/18,5
2020/01/20,5
2020/01/22,4
2020/01/25,15
2020/01/28,3
2020/02/03,1
2020/02/07,8
2020/02/13,5
2020/02/15,8
2020/02/21,4
2020/02/24,3
2020/02/27,2
2020/02/28,2
2020/03/02,2
2020/03/04,3
2020/03/06,5
2020/03/07,2
2020/03/08,3
2020/03/11,5
2020/03/12,2
2020/03/13,8
2020/03/14,6
2020/03/20,5
2020/03/22,2
2020/03/28,2
2020/03/30,4
2020/04/05,3
2020/06/19,10
2020/06/20,2
2020/06/21,5
2020/06/25,3
2020/06/26,8
2020/06/27,3
2020/06/28,5
2020/07/02,2
2020/07/03,8
2020/07/04,2
2020/07/05,2
2020/07/09,4
2020/07/10,8
2020/07/11,4
2020/07/12,3
2020/07/14,3
2020/07/17,5
2020/07/18,2
2020/07/19,3
2020/07/22,4
2020/07/23,2
2020/07/24,7
2020/07/25,6
2020/07/30,6
2020/07/31,8
2020/08/01,8
2020/08/07,5
2020/08/08,6
2020/08/09,8
2020/08/10,8
2020/08/14,6
2020/08/16,4
2020/08/20,3
2020/08/21,8
2020/08/22,3
2020/08/23,2
2020/08/28,5
2020/08/29,3
2020/08/30,3
2020/09/03,3
2020/09/04,8
2020/09/05,5
2020/09/06,8
2020/09/11,3
2020/09/12,7
2020/09/17,5
2020/09/18,9
2020/09/19,4
2020/09/25,8
2020/09/26,10
2020/09/27,2
2020/10/01,4
2020/10/02,5
2020/10/03,5
2020/10/05,3
2020/10/09,11
2020/10/10,10
2020/10/16,8
2020/10/17,5
2020/10/19,4
2020/10/23,10
2020/10/24,6
2020/10/30,10
2020/10/31,6
2020/11/03,2
2020/11/05,2
2020/11/06,2
2020/11/07,10
2020/11/08,3
2020/11/13,5
2020/11/15,4
2020/11/20,6
2020/11/22,3
2020/11/23,2
2020/11/24,3
2020/11/26,3
2020/11/27,10
2020/11/28,8
2020/11/29,8
