ds,y
2018/03/15,3
2018/03/16,5
2018/04/01,3
2018/04/05,10
2018/05/10,3
2018/07/02,5
2018/07/03,3
2018/07/08,3
2018/07/19,3
2018/07/20,7
2018/07/23,3
2018/07/24,6
2018/07/25,2
2018/07/29,3
2018/08/04,5
2018/08/05,7
2018/08/10,5
2018/08/11,7
2018/08/16,3
2018/08/18,6
2018/08/19,3
2018/08/21,2
2018/08/22,3
2018/08/23,3
2018/08/24,3
2018/08/25,5
2018/08/26,4
2018/08/27,2
2018/08/28,3
2018/08/29,1
2018/08/30,2
2018/08/31,5
2018/09/01,5
2018/09/02,6
2018/09/03,3
2018/09/04,3
2018/09/05,2
2018/09/06,2
2018/09/07,5
2018/09/08,4
2018/09/09,5
2018/09/10,5
2018/09/13,2
2018/09/14,3
2018/09/15,5
2018/09/16,6
2018/09/17,3
2018/09/18,3
2018/09/19,3
2018/09/21,3
2018/09/22,4
2018/09/23,4
2018/09/24,5
2018/09/25,3
2018/09/27,3
2018/09/29,4
2018/09/30,4
2018/10/01,5
2018/10/02,2
2018/10/03,2
2018/10/05,5
2018/10/06,4
2018/10/07,4
2018/10/08,4
2018/10/09,2
2018/10/11,3
2018/10/13,5
2018/10/14,5
2018/10/15,5
2018/10/16,3
2018/10/17,3
2018/10/18,3
2018/10/19,5
2018/10/20,6
2018/10/21,2
2018/10/22,3
2018/10/24,5
2018/10/25,1
2018/10/26,4
2018/10/27,3
2018/10/28,5
2018/10/29,2
2018/10/30,3
2018/10/31,2
2018/11/02,7
2018/11/03,5
2018/11/04,8
2018/11/05,6
2018/11/07,8
2018/11/09,2
2018/11/10,10
2018/11/11,7
2018/11/12,4
2018/11/15,5
2018/11/17,4
2018/11/18,8
2018/11/20,6
2018/11/21,2
2018/11/22,3
2018/11/23,4
2018/11/24,8
2018/11/27,2
2018/11/28,4
2018/11/30,3
2018/12/01,3
2018/12/03,3
2018/12/05,2
2018/12/07,4
2018/12/08,5
2018/12/09,8
2018/12/13,3
2018/12/14,4
2018/12/15,3
2018/12/16,3
2018/12/17,3
2018/12/21,4
2018/12/22,6
2018/12/23,4
2018/12/24,3
2018/12/25,6
2018/12/27,2
2018/12/28,6
2018/12/29,6
2018/12/30,2
2018/12/31,8
2019/01/01,10
2019/01/02,6
2019/01/04,4
2019/01/05,3
2019/01/06,5
2019/01/08,3
2019/01/09,2
2019/01/11,4
2019/01/12,5
2019/01/13,2
2019/01/16,2
2019/01/18,6
2019/01/19,3
2019/01/20,3
2019/01/22,3
2019/01/23,3
2019/01/25,5
2019/01/26,5
2019/01/27,5
2019/01/28,3
2019/01/29,2
2019/01/31,10
2019/02/01,5
2019/02/02,7
2019/02/04,12
2019/02/07,3
2019/02/08,3
2019/02/09,3
2019/02/10,4
2019/02/11,3
2019/02/15,4
2019/02/16,3
2019/02/17,4
2019/02/18,2
2019/02/22,8
2019/02/23,4
2019/02/25,4
2019/02/27,2
2019/02/28,2
2019/03/01,4
2019/03/02,5
2019/03/03,6
2019/03/04,4
2019/03/05,2
2019/03/07,3
2019/03/08,4
2019/03/10,4
2019/03/11,5
2019/03/12,4
2019/03/14,5
2019/03/16,5
2019/03/17,4
2019/03/18,3
2019/03/21,3
2019/03/22,5
2019/03/23,5
2019/03/24,5
2019/03/25,3
2019/03/27,3
2019/03/28,2
2019/03/29,4
2019/03/30,2
2019/04/01,4
2019/04/02,3
2019/04/03,3
2019/04/05,3
2019/04/06,5.9
2019/04/07,6
2019/04/08,4
2019/04/12,3
2019/04/13,3
2019/04/14,4
2019/04/15,2
2019/04/16,2
2019/04/17,2
2019/04/21,4
2019/06/26,3
2019/06/29,9
2019/07/07,4
2019/07/08,3
2019/07/09,4
2019/07/10,3
2019/07/11,2
2019/07/12,4
2019/07/13,7
2019/07/14,6
2019/07/15,7.5
2019/07/16,4
2019/07/17,3
2019/07/18,3
2019/07/19,4
2019/07/20,6
2019/07/21,7
2019/07/22,3
2019/07/23,4
2019/07/26,8
2019/07/27,5
2019/07/28,8
2019/07/29,5.5
2019/07/30,2
2019/07/31,4
2019/08/01,3
2019/08/02,7
2019/08/03,6
2019/08/04,7
2019/08/06,2
2019/08/08,7
2019/08/09,4
2019/08/10,7
2019/08/11,4
2019/08/12,5
2019/08/13,2
2019/08/14,2
2019/08/16,5
2019/08/17,4
2019/08/18,2
2019/08/19,2
2019/08/21,2
2019/08/23,5
2019/08/24,3
2019/08/25,3
2019/08/28,2
2019/08/29,3
2019/08/30,4
2019/08/31,5.17
2019/09/01,4
2019/09/02,2
2019/09/03,2
2019/09/04,2
2019/09/06,3
2019/09/07,4
2019/09/08,6
2019/09/09,3
2019/09/10,2
2019/09/11,4
2019/09/12,3
2019/09/13,3
2019/09/14,4
2019/09/15,3
2019/09/16,3
2019/09/17,2
2019/09/19,5
2019/09/20,3
2019/09/21,2
2019/09/23,3
2019/09/24,5
2019/09/26,3
2019/09/27,2
2019/09/28,3
2019/09/29,4
2019/09/30,3
2019/10/01,2
2019/10/02,2
2019/10/04,2
2019/10/05,5
2019/10/06,3
2019/10/09,2
2019/10/11,5
2019/10/12,4
2019/10/13,4
2019/10/15,2
2019/10/17,2
2019/10/18,2
2019/10/19,3
2019/10/20,4
2019/10/21,3
2019/10/23,2
2019/10/24,2
2019/10/25,4
2019/10/26,2
2019/10/27,3
2019/10/28,2
2019/10/29,3
2019/10/30,2
2019/11/01,2
2019/11/02,2
2019/11/03,5
2019/11/06,3
2019/11/07,2
2019/11/08,3
2019/11/10,5
2019/11/14,3
2019/11/15,4
2019/11/16,4.32
2019/11/17,4
2019/11/18,3
2019/11/21,3
2019/11/22,3
2019/11/23,3
2019/11/24,3
2019/11/25,3
2019/11/27,2
2019/11/28,2
2019/11/29,3
2019/11/30,3
2019/12/01,1
2019/12/02,1
2019/12/03,2
2019/12/04,1
2019/12/05,2
2019/12/06,2
2019/12/07,4
2019/12/08,2
2019/12/09,1
2019/12/10,2
2019/12/11,1
2019/12/12,1
2019/12/13,3
2019/12/14,4
2019/12/15,3
2019/12/16,1
2019/12/17,2
2019/12/18,1
2019/12/19,2
2019/12/20,3
2019/12/21,4
2019/12/22,4
2019/12/24,2
2019/12/25,4
2019/12/26,3
2019/12/27,2
2019/12/29,3
2019/12/30,3
2019/12/31,3
2020/01/01,4
2020/01/02,3
2020/01/03,4
2020/01/04,4
2020/01/05,4
2020/01/06,2
2020/01/08,1
2020/01/10,3
2020/01/11,5
2020/01/12,3
2020/01/16,3
2020/01/17,4
2020/01/18,3
2020/01/19,5
2020/01/20,2
2020/01/22,3
2020/01/24,6
2020/01/27,3
2020/01/28,2
2020/01/31,4
2020/02/07,2
2020/02/08,2
2020/02/09,2
2020/02/11,2
2020/02/13,1
2020/02/15,3
2020/02/16,4
2020/02/17,3
2020/02/22,5
2020/02/24,1
2020/02/27,2
2020/02/28,2
2020/02/29,4
2020/03/01,3
2020/03/02,2
2020/03/03,2
2020/03/04,2
2020/03/06,3
2020/03/07,3
2020/03/08,4
2020/03/12,1
2020/03/13,1
2020/03/14,5
2020/03/16,2
2020/03/17,2
2020/03/18,1
2020/03/19,3
2020/03/21,4
2020/03/22,2
2020/03/28,2
2020/03/29,2
2020/04/02,1
2020/04/03,3
2020/04/05,2
2020/06/19,5
2020/06/20,1
2020/06/21,4
2020/06/22,1
2020/06/23,3
2020/06/24,1
2020/06/25,3
2020/06/26,4
2020/06/27,3
2020/06/28,3
2020/06/30,1
2020/07/02,1
2020/07/03,3
2020/07/04,6
2020/07/05,5
2020/07/06,3
2020/07/07,2
2020/07/08,3
2020/07/10,6
2020/07/11,9
2020/07/12,5
2020/07/14,2
2020/07/16,2
2020/07/17,2
2020/07/18,5
2020/07/19,6
2020/07/21,3
2020/07/23,2
2020/07/24,1
2020/07/25,5
2020/07/26,4
2020/07/30,2
2020/07/31,5
2020/08/02,4
2020/08/06,3
2020/08/07,3
2020/08/08,5
2020/08/11,2
2020/08/12,3
2020/08/14,4
2020/08/15,5
2020/08/16,4
2020/08/19,3
2020/08/21,3
2020/08/22,6
2020/08/24,3
2020/08/27,3
2020/08/29,3
2020/08/30,3
2020/09/02,3
2020/09/03,3
2020/09/04,4
2020/09/05,3
2020/09/07,3
2020/09/08,3
2020/09/09,2
2020/09/11,1
2020/09/12,4
2020/09/13,3
2020/09/14,3
2020/09/16,2
2020/09/17,2
2020/09/18,3
2020/09/19,3
2020/09/20,4
2020/09/24,3
2020/09/25,4
2020/09/26,5
2020/09/27,0.7
2020/09/28,3
2020/09/29,1
2020/10/01,3
2020/10/02,3
2020/10/03,3
2020/10/06,2
2020/10/09,4
2020/10/10,5
2020/10/15,2
2020/10/16,3
2020/10/18,3
2020/10/19,3
2020/10/22,3
2020/10/23,1
2020/10/24,5
2020/10/26,3
2020/10/29,3
2020/10/31,5
2020/11/01,4
2020/11/02,2
2020/11/03,2
2020/11/04,1
2020/11/06,3
2020/11/07,7
2020/11/08,4
2020/11/11,3
2020/11/13,4
2020/11/14,3
2020/11/15,3
2020/11/16,2
2020/11/19,3
2020/11/20,3
2020/11/21,5
2020/11/23,2
2020/11/24,3
2020/11/26,2
2020/11/27,4
2020/11/29,4
