ds,y
2018/01/01,6
2018/01/02,4
2018/01/03,3
2018/01/04,4
2018/01/05,4
2018/01/06,9
2018/01/07,7
2018/01/08,3
2018/01/09,3
2018/01/10,4
2018/01/11,4
2018/01/12,3
2018/01/13,4
2018/01/14,4
2018/01/15,3
2018/01/16,4
2018/01/17,3
2018/01/18,3
2018/01/19,4
2018/01/20,4
2018/01/21,4
2018/01/22,4
2018/01/23,4
2018/01/24,3
2018/01/25,2
2018/01/26,4
2018/01/27,4
2018/01/28,4
2018/01/29,4
2018/01/30,3
2018/01/31,3
2018/02/01,3
2018/02/02,4
2018/02/03,4
2018/02/04,3
2018/02/05,3
2018/02/06,4
2018/02/07,4
2018/02/08,2
2018/02/09,4
2018/02/10,4
2018/02/11,4
2018/02/12,4
2018/02/13,4
2018/02/14,4
2018/02/15,6
2018/02/16,4
2018/02/17,3
2018/02/18,3
2018/02/19,4
2018/02/20,4
2018/02/21,4
2018/02/22,4
2018/02/23,2
2018/02/24,4
2018/02/25,2
2018/02/26,4
2018/02/27,4
2018/02/28,4
2018/03/01,4
2018/03/02,3
2018/03/03,4
2018/03/04,4
2018/03/05,4
2018/03/06,3
2018/03/07,4
2018/03/09,4
2018/03/10,4
2018/03/11,6
2018/03/12,2
2018/03/13,3
2018/03/14,3
2018/03/15,3
2018/03/16,5
2018/03/17,5
2018/03/18,3
2018/03/19,4
2018/03/21,4
2018/03/22,4
2018/03/23,4
2018/03/24,4
2018/03/25,4
2018/03/26,3
2018/03/27,2
2018/03/28,3
2018/03/29,4
2018/03/30,5
2018/03/31,5
2018/04/01,4
2018/04/02,4
2018/04/03,3
2018/04/04,3
2018/04/05,1
2018/04/06,5
2018/04/07,4
2018/04/08,4
2018/04/09,3
2018/04/10,2
2018/04/11,3
2018/04/12,3
2018/04/13,4
2018/04/14,4
2018/04/15,5
2018/04/16,4
2018/04/17,1
2018/04/18,1
2018/04/19,3
2018/04/20,4
2018/04/21,4
2018/04/22,3
2018/04/23,3
2018/04/24,3
2018/04/25,3
2018/04/26,3
2018/04/27,4
2018/04/28,4
2018/04/29,3
2018/04/30,4
2018/05/01,4
2018/05/02,3
2018/05/03,3
2018/05/04,1
2018/05/05,4
2018/05/06,4
2018/05/07,3
2018/05/08,3
2018/05/09,2
2018/05/10,3
2018/05/11,3
2018/05/12,4
2018/05/13,4
2018/05/14,4
2018/05/15,3
2018/05/16,1
2018/05/17,4
2018/05/18,4
2018/05/19,4
2018/05/20,4
2018/05/21,2
2018/05/22,3
2018/05/23,3
2018/05/24,3
2018/05/25,4
2018/05/26,4
2018/05/27,4
2018/05/28,4
2018/05/29,3
2018/05/30,3
2018/05/31,3
2018/06/01,4
2018/06/02,4
2018/06/03,3
2018/06/04,3
2018/06/05,4
2018/06/06,3
2018/06/07,1
2018/06/08,4
2018/06/09,4
2018/06/10,4
2018/06/11,2
2018/06/12,2
2018/06/13,2
2018/06/14,4
2018/06/15,4
2018/06/16,5
2018/06/17,4
2018/06/18,4
2018/06/19,2
2018/06/20,2
2018/06/21,4
