ds,y
2018/01/01,40
2018/01/02,40
2018/01/03,25
2018/01/04,30
2018/01/05,30
2018/01/06,40
2018/01/07,40
2018/01/08,35
2018/01/09,30
2018/01/10,25
2018/01/11,30
2018/01/12,30
2018/01/13,35
2018/01/14,45
2018/01/15,35
2018/01/16,40
2018/01/17,30
2018/01/18,20
2018/01/19,30
2018/01/20,35
2018/01/21,25
2018/01/22,35
2018/01/24,25
2018/01/25,35
2018/01/26,25
2018/01/27,35
2018/01/28,40
2018/01/29,20
2018/01/30,30
2018/01/31,25
2018/02/01,20
2018/02/02,30
2018/02/03,25
2018/02/04,25
2018/02/05,30
2018/02/06,30
2018/02/07,30
2018/02/08,30
2018/02/09,30
2018/02/10,40
2018/02/11,35
2018/02/12,35
2018/02/13,50
2018/02/14,40
2018/02/15,50
2018/02/16,40
2018/02/17,35
2018/02/18,35
2018/02/19,35
2018/02/20,35
2018/02/21,30
2018/02/22,20
2018/02/23,40
2018/02/24,35
2018/02/25,35
2018/02/26,30
2018/02/27,35
2018/02/28,35
2018/03/01,30
2018/03/02,10
2018/03/03,35
2018/03/04,35
2018/03/05,30
2018/03/06,20
2018/03/07,35
2018/03/08,30
2018/03/09,30
2018/03/10,40
2018/03/11,20
2018/03/13,30
2018/03/14,20
2018/03/15,20
2018/03/16,40
2018/03/17,30
2018/03/18,35
2018/03/19,25
2018/03/20,25
2018/03/21,30
2018/03/22,15
2018/03/23,30
2018/03/24,35
2018/03/25,50
2018/03/26,15
2018/03/27,30
2018/03/28,20
2018/03/29,40
2018/03/30,40
2018/03/31,45
2018/04/01,30
2018/04/02,35
2018/04/03,30
2018/04/04,35
2018/04/05,30
2018/04/06,35
2018/04/08,30
2018/04/09,30
2018/04/10,25
2018/04/11,30
2018/04/12,20
2018/04/13,35
2018/04/14,35
2018/04/15,30
2018/04/16,25
2018/04/17,25
2018/04/18,5
2018/04/19,25
2018/04/20,35
2018/04/21,40
2018/04/22,35
2018/04/24,25
2018/04/25,25
2018/04/26,35
2018/04/27,35
2018/04/28,35
2018/04/29,20
2018/04/30,30
2018/05/01,25
2018/05/02,35
2018/05/03,30
2018/05/04,35
2018/05/05,40
2018/05/06,35
2018/05/07,30
2018/05/08,30
2018/05/09,20
2018/05/10,10
2018/05/11,30
2018/05/12,35
2018/05/13,35
2018/05/14,45
2018/05/15,20
2018/05/16,30
2018/05/17,30
2018/05/18,35
2018/05/19,35
2018/05/20,40
2018/05/21,35
2018/05/22,35
2018/05/23,35
2018/05/24,20
2018/05/25,10
2018/05/26,50
2018/05/27,35
2018/05/28,35
2018/05/29,35
2018/05/30,30
2018/05/31,10
2018/06/01,35
2018/06/02,35
2018/06/03,35
2018/06/04,30
2018/06/05,35
2018/06/06,30
2018/06/07,3
2018/06/08,35
